"Spol","Koliko.imas.godina.","sto.mislis.koliko.ih.ima."
"47","zensko",19,126
"104","zensko",23,123
"81","zensko",20,30
"64","zensko",20,227
"5","zensko",19,1000
"24","zensko",19,200
"69","zensko",20,128
"35","zensko",19,130
"62","zensko",20,250
"20","zensko",19,250
"48","zensko",19,125
"88","zensko",21,450
"98","zensko",22,200
"96","zensko",22,500
"9","zensko",19,523
"85","zensko",21,520
"31","zensko",19,150
"3","zensko",18,126
"45","zensko",19,127
"10","zensko",19,500
"137","zensko",34,250
"134","zensko",33,100
"143","zensko",36,350
"133","zensko",33,120
"149","zensko",38,300
"153","zensko",39,128
"140","zensko",35,200
"147","zensko",38,450
"148","zensko",38,399
"117","zensko",30,200
"128","zensko",33,420
"136","zensko",34,380
"106","zensko",25,666
"130","zensko",33,350
"109","zensko",27,550
"131","zensko",33,300
"126","zensko",32,50
"118","zensko",30,170
"142","zensko",35,180
"132","zensko",33,150
"171","zensko",46,430
"166","zensko",44,430
"182","zensko",51,200
"165","zensko",43,50
"186","zensko",52,600
"194","zensko",56,200
"161","zensko",40,25
"180","zensko",50,350
"178","zensko",49,413
"183","zensko",51,200
"174","zensko",47,700
"167","zensko",44,250
"170","zensko",45,50
"164","zensko",42,20
"184","zensko",51,150
"193","zensko",55,120
"199","zensko",58,150
"162","zensko",41,420
"191","zensko",54,300
"168","zensko",45,500
"211","zensko",61,60
"225","zensko",67,420
"203","zensko",60,250
"227","zensko",68,401
"204","zensko",60,200
"210","zensko",61,250
"212","zensko",63,100
"214","zensko",64,250
"215","zensko",64,200
"217","zensko",65,350
"218","zensko",65,300
"221","zensko",65,150
"222","zensko",66,600
"223","zensko",66,250
"229","zensko",69,200
"230","zensko",71,300
"233","zensko",71,260
"237","zensko",77,420
"238","zensko",81,418
"239","zensko",84,380
"2","musko",18,126
"86","musko",21,500
"1","musko",17,420
"103","musko",23,200
"68","musko",20,128
"46","musko",19,127
"76","musko",20,116
"16","musko",19,380
"87","musko",21,470
"84","musko",21,729
"6","musko",19,1000
"58","musko",20,420
"28","musko",19,170
"94","musko",21,134
"29","musko",19,160
"49","musko",19,120
"32","musko",19,150
"15","musko",19,400
"14","musko",19,401
"92","musko",21,150
"150","musko",38,250
"125","musko",32,110
"111","musko",27,100
"119","musko",30,150
"116","musko",30,200
"122","musko",32,300
"138","musko",34,35
"121","musko",31,200
"145","musko",37,63
"135","musko",34,500
"120","musko",30,100
"112","musko",28,200
"127","musko",32,40
"107","musko",26,200
"156","musko",39,35
"129","musko",33,370
"123","musko",32,250
"113","musko",28,70
"115","musko",30,220
"124","musko",32,150
"1841","musko",51,150
"1641","musko",42,20
"169","musko",45,180
"1781","musko",49,413
"1991","musko",58,150
"157","musko",40,350
"158","musko",40,150
"159","musko",40,100
"160","musko",40,25
"163","musko",41,170
"172","musko",46,330
"173","musko",46,50
"175","musko",47,100
"176","musko",48,60
"187","musko",52,128
"189","musko",53,150
"190","musko",54,450
"192","musko",55,250
"198","musko",58,300
"200","musko",59,150
"220","musko",65,80
"202","musko",60,320
"235","musko",74,60
"201","musko",60,600
"234","musko",73,480
"206","musko",60,60
"232","musko",71,180
"208","musko",61,350
"228","musko",68,320
"231","musko",71,300
"216","musko",64,50
"213","musko",63,130
"2031","musko",60,250
"224","musko",67,500
"226","musko",67,350
"236","musko",75,450
"2111","musko",61,60
"2251","musko",67,420
"207","musko",60,60
"240","musko",91,350
